Files stored on S3: 24114
Total size stored:  81.8858743049204 GB
Content stored:
2016-07-28 11:28:05    3465653 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0762.JPG
2016-07-28 11:28:30    3216841 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0763.JPG
2016-07-28 11:38:33    2602283 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0764.JPG
2016-07-28 11:32:41    2864868 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0765.JPG
2016-07-28 11:43:30    3384056 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0766.JPG
2016-07-28 11:42:32    3193250 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0767.JPG
2016-07-28 11:32:36    4924307 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0768.JPG
2016-07-28 11:33:57    2741594 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0769.JPG
2016-07-28 11:34:33    3887171 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0770.JPG
2016-07-28 11:55:40    4217819 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0771.JPG
2016-07-28 11:43:22    4018074 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0772.JPG
2016-07-28 11:38:28    3184825 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0773.JPG
2016-07-28 11:38:43     992301 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0774.JPG
2016-07-28 11:40:56    2157345 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0776.JPG
2016-07-28 11:41:03    3110956 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0777.JPG
2016-07-28 11:41:32    2354384 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0778.JPG
2016-07-28 11:45:52    4087826 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0779.JPG
2016-07-28 11:47:57    2335923 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0780.JPG
2016-07-28 11:44:36    2484319 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0781.JPG
2016-07-28 11:48:30    2499297 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0782.JPG
2016-07-28 11:46:04    2827914 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0783.JPG
2016-07-28 11:50:30    1722733 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0784.JPG
2016-07-28 11:50:21    2431428 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0785.JPG
2016-07-28 11:48:51    2430704 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0786.JPG
2016-07-28 12:01:50    2429601 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0787.JPG
2016-07-28 11:50:49    1953897 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0788.JPG
2016-07-28 11:51:24    2126396 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0789.JPG
2016-07-28 11:52:22    1875921 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0790.JPG
2016-07-28 11:53:09    2752354 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0791.JPG
2016-07-28 11:53:11    3118261 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0792.JPG
2016-07-28 11:53:39    3034575 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0793.JPG
2016-07-28 11:56:17    2850213 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0794.JPG
2016-07-28 11:54:14    3044120 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0795.JPG
2016-07-28 12:01:25    2500037 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0796.JPG
2016-07-28 11:55:31    2279516 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0797.JPG
2016-07-28 11:58:28    2270874 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0798.JPG
2016-07-28 11:57:52    2547512 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0799.JPG
2016-07-28 12:01:30    2366663 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0800.JPG
2016-07-28 11:59:45    2605389 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0801.JPG
2016-07-28 11:59:31    4245826 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0802.JPG
2016-07-28 12:18:52    3745368 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0803.JPG
2016-07-28 12:01:39    3304996 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0804.JPG
2016-07-28 12:07:06    4218222 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0805.JPG
2016-07-28 12:10:08    3730700 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0806.JPG
2016-07-28 12:02:56    3416381 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0807.JPG
2016-07-28 12:05:22    1912410 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0808.JPG
2016-07-28 12:05:30    3289723 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0809.JPG
2016-07-28 12:10:32    4240022 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0810.JPG
2016-07-28 12:07:07    4128329 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0811.JPG
2016-07-28 12:14:07    3913297 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0812.JPG
2016-07-28 12:07:24    3331822 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0813.JPG
2016-07-28 12:08:25    2459762 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0814.JPG
2016-07-28 12:10:13    2899451 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0815.JPG
2016-07-28 12:11:49    3160773 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0816.JPG
2016-07-28 12:12:24    3277490 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0817.JPG
2016-07-28 12:13:17    3417887 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0818.JPG
2016-07-28 12:16:42    3647961 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0819.JPG
2016-07-28 12:14:41    3511881 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0820.JPG
2016-07-28 12:15:58    3033345 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0821.JPG
2016-07-28 12:17:05    2183652 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0822.JPG
2016-07-28 12:17:58    2021714 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/IMG_0823.JPG
2016-07-28 12:18:06       7680 targeted-backup/rich/D/My Pictures/20110619 hike in nevada/Thumbs.db
2019-08-31 12:32:55         23 targeted-backup/rich/D/My Pictures/52 TTL/.picasa.ini
2016-07-28 12:24:16    3980880 targeted-backup/rich/D/My Pictures/52 TTL/IMG_1868_r8x10.jpg
2016-07-28 12:18:56     178268 targeted-backup/rich/D/My Pictures/52 TTL/IMG_1868_r_close.jpg
2019-08-31 12:32:55         26 targeted-backup/rich/D/My Pictures/Art Ideas/.picasa.ini
2017-01-08 12:15:04     107390 targeted-backup/rich/D/My Pictures/Art Ideas/Capture.JPG
2019-08-31 12:32:55         38 targeted-backup/rich/D/My Pictures/Art Ideas/not safe for work art/.picasa.ini
2017-01-08 12:15:05    2762702 targeted-backup/rich/D/My Pictures/Art Ideas/not safe for work art/1294814173467.jpg
2017-01-08 12:15:05    2695517 targeted-backup/rich/D/My Pictures/Art Ideas/not safe for work art/1294826809731.jpg
2017-01-08 12:15:05     857138 targeted-backup/rich/D/My Pictures/Art Ideas/not safe for work art/1294838933550.jpg
2017-01-08 12:15:05    1025616 targeted-backup/rich/D/My Pictures/Art Ideas/not safe for work art/1294839030980.jpg
2017-01-08 12:15:05    2775666 targeted-backup/rich/D/My Pictures/Art Ideas/not safe for work art/1295014945064.jpg
2017-01-08 12:15:05      94827 targeted-backup/rich/D/My Pictures/Art Ideas/not safe for work art/1359817821079.jpg
2017-01-08 12:15:05      17408 targeted-backup/rich/D/My Pictures/Art Ideas/not safe for work art/Thumbs.db
2018-06-09 07:27:42        190 targeted-backup/rich/D/My Pictures/Camera Roll/desktop.ini
2019-08-31 12:32:55         27 targeted-backup/rich/D/My Pictures/DPSI Logos/.picasa.ini
2016-07-28 12:19:21      28160 targeted-backup/rich/D/My Pictures/DPSI Logos/8a.doc
